train/learning_rate,time/time_elapsed,train/policy_loss,train/entropy_loss,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/explained_variance,rollout/ep_rew_mean,train/n_updates,time/iterations,time/fps
0.0001,8,10272.572265625,-16.430177688598633,95.0,990,389944.96875,-0.0005555152893066406,2047.0803270999997,98,99,110
0.0001,18,1152.7989501953125,-16.417774200439453,95.0,1980,7624.4091796875,-6.282329559326172e-05,2027.7234377500001,197,198,109
0.0001,27,11.31151008605957,-16.448162078857422,95.0,2970,21.107189178466797,-0.013797640800476074,2030.8732524516129,296,297,108
0.0001,36,-2194.3369140625,-16.42890167236328,95.0,3960,19321.16015625,-1.0967254638671875e-05,2034.1719679268294,395,396,108
0.0001,45,-49.3607063293457,-16.413301467895508,95.0,4950,70.08228302001953,-0.0005713701248168945,2050.552233980769,494,495,108
0.0001,54,5108.396484375,-16.421955108642578,95.0,5940,123122.046875,-5.2928924560546875e-05,2053.668680483871,593,594,109
0.0001,63,2864.89794921875,-16.40738296508789,95.0,6930,36896.15625,5.9723854064941406e-05,2059.4730984861108,692,693,109
0.0001,72,25.54605484008789,-16.43074607849121,95.0,7920,13.543527603149414,-0.0019508600234985352,2065.1319181204817,791,792,109
0.0001,81,1500.92724609375,-16.44228744506836,95.0,8910,15354.857421875,-9.775161743164062e-06,2062.848738494623,890,891,109
0.0001,9,10169.55859375,-16.43375015258789,95.0,990,389483.78125,-1.1444091796875e-05,2060.8414497,1048,99,99
0.0001,19,1143.8128662109375,-16.430875778198242,95.0,1980,7626.66259765625,-7.152557373046875e-07,2064.0577967,1147,198,103
0.0001,28,-2.423687696456909,-16.44345474243164,95.0,2970,15.777236938476562,-0.000510096549987793,2067.6932888064516,1246,297,105
0.0001,37,-1026.0931396484375,-16.415058135986328,95.0,3960,5118.68896484375,1.9669532775878906e-06,2072.509447512195,1345,396,105
0.0001,46,-121.79793548583984,-16.40549087524414,95.0,4950,117.60466003417969,-1.8596649169921875e-05,2067.8143769615385,1444,495,107
0.0001,55,5094.59912109375,-16.405763626098633,95.0,5940,122796.5,-1.1920928955078125e-06,2066.750612677419,1543,594,106
0.0001,64,2824.864501953125,-16.39734649658203,95.0,6930,36868.10546875,1.4901161193847656e-06,2066.224048555556,1642,693,107
